모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2025 포드 머스탱(7세대),7.2 ~ 9.6km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,8470,http://file.carisyou.com/upload/2024/02/15/FILE_202402151109151320.png,319.0
2024 링컨 네비게이터(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,15040,http://file.carisyou.com/upload/2022/09/22/FILE_202209221120572550.png,446.0
2025 푸조 408,12.9km/ℓ,가솔린,준중형,해치백,FF,4690,http://file.carisyou.com/upload/2023/05/23/FILE_202305230102114180.png,131.0
2025 제네시스 G90(RS4),8.0 ~ 9.3km/ℓ,가솔린,대형,"리무진,세단외형전체>",FR,1,http://file.carisyou.com/upload/2021/12/14/FILE_202112140254196890.png,380.0
2025 KGM 무쏘 칸(Q261),10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202.0
2025 KGM 무쏘 스포츠(Q261),10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202.0
2025 기아 EV3,5.1 ~ 5.4km/kwh,전기,소형,SUV,2WD,4895,http://file.carisyou.com/upload/2024/06/04/FILE_202406041058132380.png,
2025 혼다 오딧세이(5세대),9.0km/ℓ,가솔린,대형,RV,FF,6290,http://file.carisyou.com/upload/2025/02/27/FILE_202502270204194410.png,284.0
2025 아우디 RS6(8세대),7.1km/ℓ,가솔린,중형,왜건,4WD,18002,http://file.carisyou.com/upload/2023/12/29/FILE_202312290935204760.png,630.0
2025 아우디 RSQ8,6.5km/ℓ,가솔린,대형,SUV,4WD,19202,http://file.carisyou.com/upload/2025/02/27/FILE_202502270202346640.png,640.0
2025 벤츠 SL(7세대),8.8km/ℓ,가솔린,중형,컨버터블,FR,15560,http://file.carisyou.com/upload/2023/03/20/FILE_202303200122191330.png,421.0
2025 현대 뉴 마이티,-,디젤,준대형,트럭,FR,7900,http://file.carisyou.com/upload/2021/03/18/FILE_202103180931098530.png,170.0
2025 KGM 무쏘 EV(O100),4.2km/kwh,전기,중형,픽업트럭,2WD,5300,http://file.carisyou.com/upload/2025/02/14/FILE_202502140259224690.png,
2025 기아 타스만,7.7 ~ 8.6km/ℓ,가솔린,대형,픽업트럭,FR,5240,http://file.carisyou.com/upload/2025/03/05/FILE_202503051042490580.png,281.0
2025 렉서스 LX(4세대),8.0km/ℓ,가솔린/하이브리드,대형,SUV,4WD,16587,http://file.carisyou.com/upload/2025/02/17/FILE_202502170952381770.png,415.0
2025 포드 레인저(2세대),9.0 ~ 10.1km/ℓ,디젤,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2023/01/16/FILE_202301160202008150.png,205.0
2025 현대 아이오닉 9,4.1 ~ 4.3km/kwh,전기,대형,SUV,2WD,8311,http://file.carisyou.com/upload/2025/02/03/FILE_202502030350356610.png,
2026 렉서스 ES(7세대),17.2km/ℓ,가솔린/하이브리드,중형,세단,FF,7188,http://file.carisyou.com/upload/2024/01/18/FILE_202401180100060120.png,178.0
2025 렉서스 LS(5세대),7.9 ~ 9.6km/ℓ,"가솔린,가솔린/하이브리드",대형,세단,4WD,14527,http://file.carisyou.com/upload/2022/11/17/FILE_202211171011302310.png,422.0
2025 아우디 A3(4세대),11.3 ~ 12.4km/ℓ,가솔린,준중형,세단,FF,5130,http://file.carisyou.com/upload/2025/01/22/FILE_202501220523253440.png,204.0
2025 현대 파비스,-,디젤,준대형,트럭,FR,1,http://file.carisyou.com/upload/2021/05/20/FILE_202105201105343060.png,280.0
2025 로터스 에미라,7.7 ~ 9.5km/ℓ,가솔린,준중형,쿠페,MR,14990,http://file.carisyou.com/upload/2021/11/01/FILE_202111010256102580.png,364.0
2025 KGM 뉴 렉스턴 스포츠,10.4km/ℓ,디젤,대형,픽업트럭,FR,3689,http://file.carisyou.com/upload/2025/01/20/FILE_202501200422473040.png,202.0
2025 KGM 뉴 렉스턴 스포츠 칸,10.2 ~ 10.3km/ℓ,디젤,대형,픽업트럭,FR,3909,http://file.carisyou.com/upload/2025/01/20/FILE_202501200426517090.png,202.0
2025 KGM 뉴 렉스턴(Y461),10.2 ~ 11.6km/ℓ,디젤,중형,SUV,FR,5967,http://file.carisyou.com/upload/2022/03/10/FILE_202203100117042950.png,202.0
2025 비야디 아토 3,4.7km/kwh,전기,소형,SUV,2WD,3330,http://file.carisyou.com/upload/2025/01/16/FILE_202501160330016950.png,
2025 제네시스 뉴 일렉트리파이드 GV70,4.5km/kwh,전기,중형,SUV,4WD,7530,http://file.carisyou.com/upload/2025/01/16/FILE_202501160957313300.png,
2025 미니 미니 에이스맨,5.4km/kwh,전기,소형,SUV,2WD,6000,http://file.carisyou.com/upload/2025/01/15/FILE_202501150346435350.png,
2025 아우디 Q3(2세대),9.9 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,5826,http://file.carisyou.com/upload/2022/06/02/FILE_202206021106043010.png,150.0
2025 아우디 RS7(2세대),7.3km/ℓ,가솔린,준대형,해치백,4WD,18790,http://file.carisyou.com/upload/2023/12/21/FILE_202312211026362540.png,630.0
2025 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1357,http://file.carisyou.com/upload/2025/01/13/FILE_202501131125294360.png,252.0
2025 벤츠 C클래스(5세대),12.0km/ℓ,가솔린,준중형,세단,FR,6590,http://file.carisyou.com/upload/2022/11/21/FILE_202211210924075450.png,204.0
2025 제네시스 뉴 G80(RG3),8.2 ~ 10.5km/ℓ,가솔린,준대형,세단,FR,8573,http://file.carisyou.com/upload/2023/12/27/FILE_202312270112559470.png,304.0
2025 폭스바겐 ID.5,5.0km/kwh,전기,준중형,SUV,2WD,6099,http://file.carisyou.com/upload/2025/01/07/FILE_202501070128246050.png,
2025 지프 랭글러(4세대),7.5 ~ 8.2km/ℓ,가솔린,"준중형,중형",SUV,4WD,8590,http://file.carisyou.com/upload/2024/09/12/FILE_202409121114396850.png,272.0
2025 랜드로버 디스커버리,7.5 ~ 10.1km/ℓ,"가솔린,디젤",중형,SUV,4WD,1,http://file.carisyou.com/upload/2021/06/23/FILE_202106231025152620.png,300.0
2025 폭스바겐 ID.4,4.9km/kwh,전기,준중형,SUV,2WD,5999,http://file.carisyou.com/upload/2022/09/15/FILE_202209150246519830.png,
2025 아우디 Q4 e-트론,4.7km/kwh,전기,준중형,SUV,2WD,7380,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,
2024 아우디 A4(5세대),10.6 ~ 16.9km/ℓ,"가솔린,디젤",준중형,세단,FF,6722,http://file.carisyou.com/upload/2020/06/03/FILE_202006030108442820.png,204.0
2025 BMW 2시리즈(2세대),9.6km/ℓ,가솔린,준중형,쿠페,4WD,7310,http://file.carisyou.com/upload/2019/11/04/FILE_201911040330378920.png,387.0
2025 BMW X6 M(3세대),7.0km/ℓ,가솔린,중형,SUV,4WD,19580,http://file.carisyou.com/upload/2023/07/05/FILE_202307050422307370.png,625.0
2025 벤츠 GLE(4세대),7.8 ~ 11.6km/ℓ,"가솔린,디젤",중형,SUV,4WD,11660,http://file.carisyou.com/upload/2023/08/28/FILE_202308280216070440.png,269.0
2025 벤츠 CLE,9.1 ~ 11.7km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,1,http://file.carisyou.com/upload/2024/02/16/FILE_202402160955503020.png,204.0
2025 현대 팰리세이드 하이브리드(LX3),11.4 ~ 14.1km/ℓ,가솔린/하이브리드,대형,SUV,FF,6566,http://file.carisyou.com/upload/2024/12/20/FILE_202412200435289480.png,262.0
2025 현대 팰리세이드(LX3),8.2 ~ 9.7km/ℓ,가솔린,대형,SUV,FF,5946,http://file.carisyou.com/upload/2024/12/20/FILE_202412200947075910.png,281.0
2025 아우디 SQ7,6.7km/ℓ,가솔린,대형,SUV,4WD,14002,http://file.carisyou.com/upload/2024/12/20/FILE_202412200308355580.png,507.0
2025 아우디 Q7(2세대),8.1 ~ 10.5km/ℓ,"가솔린,디젤",대형,SUV,4WD,11372,http://file.carisyou.com/upload/2024/12/20/FILE_202412200331551060.png,286.0
2025 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,13020,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510.0
2025 BMW X6(3세대),7.8 ~ 11.9km/ℓ,"가솔린,디젤",중형,SUV,4WD,12650,http://file.carisyou.com/upload/2023/07/05/FILE_202307050349434080.png,298.0
2025 BMW X2(2세대),10.1 ~ 10.8km/ℓ,가솔린,준중형,SUV,4WD,7550,http://file.carisyou.com/upload/2024/04/03/FILE_202404030249153580.png,204.0
2025 BMW iX,3.4 ~ 3.7km/kwh,전기,중형,SUV,4WD,15220,http://file.carisyou.com/upload/2021/11/23/FILE_202111230454480600.png,
2025 아우디 Q8,8.1 ~ 10.1km/ℓ,"가솔린,디젤",대형,SUV,4WD,11812,http://file.carisyou.com/upload/2024/12/19/FILE_202412191121110780.png,286.0
2025 미니 미니 컨트리맨(3세대),10.3 ~ 10.8km/ℓ,가솔린,소형,SUV,4WD,6620,http://file.carisyou.com/upload/2024/06/07/FILE_202406070138060760.png,204.0
2025 아우디 A6(8세대),10.7 ~ 15.0km/ℓ,"가솔린,디젤",중형,세단,FF,8324,http://file.carisyou.com/upload/2021/12/14/FILE_202112140537413290.png,204.0
2025 렉서스 RX(5세대),10.0 ~ 14.7km/ℓ,가솔린/하이브리드,중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/06/02/FILE_202306020518039390.png,187.0
2025 볼보 S90,10.4 ~ 13.0km/ℓ,"가솔린,가솔린/하이브리드",준대형,세단,FF,8790,http://file.carisyou.com/upload/2024/12/09/FILE_202412090949207550.png,250.0
2025 볼보 XC90(2세대),9.5 ~ 11.0km/ℓ,"가솔린,가솔린/하이브리드",준대형,SUV,4WD,1,http://file.carisyou.com/upload/2019/09/26/FILE_201909261013329930.png,300.0
2025 BMW M5(7세대),12.0km/ℓ,가솔린/하이브리드,중형,세단,4WD,16550,http://file.carisyou.com/upload/2024/12/06/FILE_202412061027130670.png,585.0
2025 BMW i5,3.8 ~ 4.6km/kwh,전기,중형,세단,2WD,1,http://file.carisyou.com/upload/2023/09/06/FILE_202309060405066500.png,
2025 BMW X5 M(3세대),6.9km/ℓ,가솔린,중형,SUV,4WD,19170,http://file.carisyou.com/upload/2023/08/03/FILE_202308031042157290.png,625.0
2025 BMW M2(2세대),8.5km/ℓ,가솔린,준중형,쿠페,FR,9590,http://file.carisyou.com/upload/2024/12/02/FILE_202412021032252700.png,480.0
2025 랜드로버 레인지로버(5세대),7.8 ~ 10.5km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,SUV,4WD,22800,http://file.carisyou.com/upload/2021/11/29/FILE_202111290547572310.png,350.0
2025 현대 뉴 투싼 하이브리드(NX4),14.3 ~ 16.2km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4142,http://file.carisyou.com/upload/2023/12/06/FILE_202312060230172670.png,180.0
2025 현대 뉴 투싼(NX4),11.2 ~ 14.3km/ℓ,"가솔린,디젤",준중형,SUV,FF,3925,http://file.carisyou.com/upload/2023/12/06/FILE_202312060215369920.png,180.0
2025 BMW M8(2세대),7.3 ~ 7.6km/ℓ,가솔린,준대형,"세단,쿠페외형전체>",4WD,24790,http://file.carisyou.com/upload/2019/10/02/FILE_201910020354195000.png,625.0
2025 BMW X7,6.9 ~ 10.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,14990,http://file.carisyou.com/upload/2024/11/18/FILE_202411180405553880.png,381.0
2025 BMW X5(4세대),7.5 ~ 11.6km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,SUV,4WD,11780,http://file.carisyou.com/upload/2023/07/05/FILE_202307050208496140.png,286.0
2025 BMW X4(2세대),8.5 ~ 12.5km/ℓ,"가솔린,디젤",준중형,SUV,4WD,1,http://file.carisyou.com/upload/2021/12/02/FILE_202112020116175890.png,184.0
2025 BMW X1(3세대),10.2 ~ 14.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,7220,http://file.carisyou.com/upload/2023/03/06/FILE_202303060536277170.png,150.0
2025 BMW iX1,4.2km/kwh,전기,준중형,SUV,4WD,7020,http://file.carisyou.com/upload/2023/01/26/FILE_202301261100344100.png,
2025 아우디 SQ6 e-트론,3.8km/kwh,전기,중형,SUV,4WD,11590,http://file.carisyou.com/upload/2025/03/19/FILE_202503190237504790.png,
2025 아우디 Q6 e-트론,3.8 ~ 4.3km/kwh,전기,중형,SUV,2WD,1,http://file.carisyou.com/upload/2025/03/19/FILE_202503190240143170.png,
2024 아우디 SQ5(2세대),8.6 ~ 8.9km/ℓ,가솔린,중형,SUV,4WD,9990,http://file.carisyou.com/upload/2021/07/21/FILE_202107210246134410.png,354.0
2024 아우디 Q4 e-트론,4.7 ~ 4.8km/kwh,전기,준중형,SUV,2WD,7540,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,
2025 포드 익스플로러(6세대),8.7km/ℓ,가솔린,대형,SUV,4WD,6800,http://file.carisyou.com/upload/2024/11/08/FILE_202411080451194960.png,304.0
2025 BMW 8시리즈(2세대),7.6 ~ 7.7km/ℓ,가솔린,준대형,"세단,쿠페외형전체>",4WD,14670,http://file.carisyou.com/upload/2024/11/08/FILE_202411080347539220.png,530.0
2025 BMW 5시리즈(8세대),11.1 ~ 15.9km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,세단,FR,1,http://file.carisyou.com/upload/2023/09/06/FILE_202309061102221390.png,190.0
2025 기아 뉴 스포티지 하이브리드(NQ5),14.3 ~ 16.3km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4168,http://file.carisyou.com/upload/2024/11/08/FILE_202411081136590820.png,180.0
2025 기아 뉴 스포티지(NQ5),8.6 ~ 12.3km/ℓ,"가솔린,엘피지",준중형,SUV,FF,3694,http://file.carisyou.com/upload/2024/11/08/FILE_202411081136590820.png,180.0
2025 BMW M3(6세대),7.9 ~ 8.2km/ℓ,가솔린,준중형,"세단,왜건외형전체>",4WD,13440,http://file.carisyou.com/upload/2024/11/07/FILE_202411071111282460.png,530.0
2025 BMW 3시리즈(7세대),10.8 ~ 15.2km/ℓ,"가솔린,디젤",준중형,"세단,왜건외형전체>",FR,9750,http://file.carisyou.com/upload/2024/11/07/FILE_202411071109277780.png,190.0
2025 토요타 하이랜더(4세대),13.8km/ℓ,가솔린/하이브리드,준대형,SUV,4WD,7403,http://file.carisyou.com/upload/2023/07/05/FILE_202307050526388340.png,188.0
2025 기아 뉴 K5 하이브리드(DL3),18.8 ~ 19.8km/ℓ,가솔린/하이브리드,중형,세단,FF,3868,http://file.carisyou.com/upload/2024/01/16/FILE_202401160246451980.png,152.0
2025 기아 뉴 K5(DL3),9.5 ~ 13.7km/ℓ,"가솔린,엘피지",중형,세단,FF,3546,http://file.carisyou.com/upload/2024/01/16/FILE_202401160245434840.png,160.0
2025 토요타 캠리(9세대),17.1km/ℓ,가솔린/하이브리드,중형,세단,FF,5327,http://file.carisyou.com/upload/2024/11/07/FILE_202411070532096740.png,186.0
2025 벤츠 마이바흐 GLS(3세대),6.2km/ℓ,가솔린,대형,SUV,4WD,28760,http://file.carisyou.com/upload/2024/01/31/FILE_202401310146182370.png,557.0
2025 벤츠 GLS(3세대),6.5 ~ 7.9km/ℓ,가솔린,대형,SUV,4WD,15710,http://file.carisyou.com/upload/2023/11/16/FILE_202311160452428280.png,381.0
2025 벤틀리 컨티넨탈(4세대),-,가솔린/하이브리드,대형,"컨버터블,쿠페외형전체>",4WD,34610,http://file.carisyou.com/upload/2024/10/30/FILE_202410300117562710.png,600.0
2025 로터스 에메야,-,전기,대형,세단,4WD,14800,http://file.carisyou.com/upload/2024/10/30/FILE_202410301126021910.png,
2025 현대 뉴 쏘나타 하이브리드(DN8),17.1 ~ 19.4km/ℓ,가솔린/하이브리드,중형,세단,FF,3912,http://file.carisyou.com/upload/2023/04/24/FILE_202304241052430090.png,152.0
2025 현대 뉴 쏘나타(DN8),9.4 ~ 13.5km/ℓ,"가솔린,엘피지",중형,세단,FF,3869,http://file.carisyou.com/upload/2023/04/24/FILE_202304241050166250.png,160.0
2025 포르쉐 911(8세대),-,가솔린,준중형,"컨버터블,쿠페외형전체>",RR,24070,http://file.carisyou.com/upload/2024/10/25/FILE_202410250950404080.png,485.0
2025 포르쉐 카이엔(3세대),6.5 ~ 8.4km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,14380,http://file.carisyou.com/upload/2023/08/17/FILE_202308171119591940.png,360.0
2025 볼보 V90 크로스 컨트리,11.0km/ℓ,가솔린,중형,왜건,4WD,7820,http://file.carisyou.com/upload/2020/10/22/FILE_202010220952255650.png,250.0
2025 랜드로버 디펜더,6.9 ~ 10.4km/ℓ,"가솔린,디젤","대형,준중형",SUV,4WD,1488,http://file.carisyou.com/upload/2024/01/19/FILE_202401190118577460.png,249.0
2025 링컨 노틸러스(2세대),9.0km/ℓ,가솔린,중형,SUV,4WD,7620,http://file.carisyou.com/upload/2023/11/01/FILE_202311011029012570.png,252.0
2025 링컨 에비에이터(2세대),7.7km/ℓ,가솔린,대형,SUV,4WD,1,http://file.carisyou.com/upload/2024/10/21/FILE_202410210107377440.png,406.0
2025 벤츠 마이바흐 S클래스(7세대),6.1 ~ 8.1km/ℓ,가솔린,대형,세단,4WD,3960,http://file.carisyou.com/upload/2021/10/28/FILE_202110280232451480.png,503.0
2025 벤츠 S클래스(7세대),7.8 ~ 13.0km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,세단,4WD,15160,http://file.carisyou.com/upload/2022/09/23/FILE_202209230928452320.png,313.0
2025 롤스로이스 컬리넌,5.4 ~ 5.5km/ℓ,가솔린,대형,SUV,4WD,57700,http://file.carisyou.com/upload/2024/10/18/FILE_202410181002555360.png,571.0
2025 현대 뉴 캐스퍼,12.3 ~ 14.3km/ℓ,가솔린,경형,SUV,FF,2070,http://file.carisyou.com/upload/2024/10/17/FILE_202410170250447890.png,76.0
2025 BMW 7시리즈(7세대),10.3 ~ 15.0km/ℓ,"가솔린,가솔린/하이브리드,디젤",대형,세단,4WD,15070,http://file.carisyou.com/upload/2022/07/08/FILE_202207080916071430.png,286.0
2025 BMW i7,3.3 ~ 3.8km/kwh,전기,대형,세단,2WD,16610,http://file.carisyou.com/upload/2022/07/08/FILE_202207081005584990.png,
2025 기아 뉴 카니발 하이브리드(KA4),12.4 ~ 14.0km/ℓ,가솔린/하이브리드,대형,RV,FF,9831,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415167530.png,180.0
2025 기아 뉴 카니발(KA4),8.5 ~ 13.1km/ℓ,"가솔린,디젤",대형,RV,FF,9239,http://file.carisyou.com/upload/2024/02/05/FILE_202402050415071560.png,294.0
2025 BMW X3(4세대),10.6 ~ 14.0km/ℓ,"가솔린,디젤",준중형,SUV,4WD,9870,http://file.carisyou.com/upload/2024/10/14/FILE_202410140313144470.png,190.0
2025 랜드로버 레인지로버 이보크(2세대),8.9km/ℓ,가솔린,준중형,SUV,4WD,8140,http://file.carisyou.com/upload/2024/03/26/FILE_202403261110208410.png,249.0
2025 제네시스 뉴 GV80 쿠페,7.8 ~ 8.3km/ℓ,가솔린,준대형,SUV,4WD,1,http://file.carisyou.com/upload/2023/09/27/FILE_202309270132284800.png,304.0
2025 제네시스 뉴 GV80,7.7 ~ 9.3km/ℓ,가솔린,준대형,SUV,FR,9717,http://file.carisyou.com/upload/2023/09/27/FILE_202309270128370680.png,304.0
2025 랜드로버 레인지로버 스포츠(3세대),7.1 ~ 8.7km/ℓ,"가솔린,가솔린/하이브리드",중형,SUV,4WD,14100,http://file.carisyou.com/upload/2024/01/30/FILE_202401300337217010.png,360.0
2025 랜드로버 디스커버리 스포츠,8.2km/ℓ,가솔린,준중형,SUV,4WD,7780,http://file.carisyou.com/upload/2024/01/30/FILE_202401300340302500.png,249.0
2025 포르쉐 파나메라(3세대),7.2 ~ 8.0km/ℓ,"가솔린,가솔린/하이브리드",대형,해치백,4WD,18330,http://file.carisyou.com/upload/2023/11/27/FILE_202311271017266300.png,360.0
2025 벤츠 E클래스(6세대),8.6 ~ 12.3km/ℓ,"가솔린,가솔린/하이브리드",중형,세단,FR,1,http://file.carisyou.com/upload/2024/01/04/FILE_202401040227284180.png,204.0
2025 벤츠 GLC(3세대),8.7 ~ 14.5km/ℓ,"가솔린,디젤",준중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/06/16/FILE_202306161010404980.png,197.0
2025 BMW 2시리즈 액티브 투어러(2세대),11.1 ~ 16.0km/ℓ,"가솔린,디젤",준중형,RV,FF,5210,http://file.carisyou.com/upload/2022/08/04/FILE_202208040204075900.png,204.0
2025 기아 봉고3 EV,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,6227,http://file.carisyou.com/upload/2021/12/24/FILE_202112241114245700.png,
2025 벤츠 G클래스(2세대),"3.0 ~ 10.0km/kwh,km/ℓ","가솔린,디젤,전기",중형,SUV,4WD,18760,http://file.carisyou.com/upload/2024/10/04/FILE_202410041244281710.png,367.0
2025 기아 뉴 레이 EV,5.1km/kwh,전기,경형,RV,2WD,2955,http://file.carisyou.com/upload/2023/08/29/FILE_202308291058138900.png,
2024 마세라티 그레칼레,8.0 ~ 9.9km/ℓ,가솔린,중형,SUV,4WD,1791,http://file.carisyou.com/upload/2022/11/21/FILE_202211210932439380.png,300.0
2025 기아 뉴 레이,12.6 ~ 12.9km/ℓ,가솔린,경형,RV,FF,1928,http://file.carisyou.com/upload/2022/09/01/FILE_202209010954489680.png,76.0
2024 포드 브롱코,8.2 ~ 8.4km/ℓ,가솔린,중형,SUV,4WD,8040,http://file.carisyou.com/upload/2023/05/10/FILE_202305100959356740.png,279.0
2024 아우디 A3(4세대),12.5 ~ 13.0km/ℓ,가솔린,준중형,세단,4WD,4740,http://file.carisyou.com/upload/2022/06/17/FILE_202206170247398980.png,204.0
2025 현대 ST1,-,전기,소형,트럭,2WD,7195,http://file.carisyou.com/upload/2024/04/24/FILE_202404240106010020.png,
