모델명,연비,연료타입,차급,외형,엔진,가격,이미지,출력
2024 쉐보레 뉴 트레일블레이저,11.6 ~ 12.9km/ℓ,가솔린,준중형,SUV,FF,3339,http://file.carisyou.com/upload/2023/07/19/FILE_202307190249475930.png,156.0
2024 기아 스포티지 하이브리드(NQ5),15.2 ~ 16.7km/ℓ,가솔린/하이브리드,준중형,SUV,FF,4054,http://file.carisyou.com/upload/2021/07/28/FILE_202107280515054230.png,180.0
2024 기아 스포티지(NQ5),9.0 ~ 14.5km/ℓ,"가솔린,디젤,엘피지",준중형,SUV,FF,3892,http://file.carisyou.com/upload/2021/07/28/FILE_202107280514485110.png,180.0
2024 KGM 코란도(C300),10.5 ~ 11.5km/ℓ,가솔린,준중형,SUV,FF,3019,http://file.carisyou.com/upload/2019/02/18/FILE_201902180945141410.png,170.0
2023 기아 뉴 모닝(JA),15.1km/ℓ,가솔린,경형,해치백,FF,1655,http://file.carisyou.com/upload/2023/08/17/FILE_202308170339556250.png,76.0
2023 푸조 3008(2세대),12.2 ~ 15.8km/ℓ,"가솔린,디젤",준중형,SUV,FF,4720,http://file.carisyou.com/upload/2021/05/20/FILE_202105200235497690.png,131.0
2023 마이브 마이브 M1,5.5km/kwh,전기,경형,해치백,2WD,1892,http://file.carisyou.com/upload/2020/11/05/FILE_202011050341500270.png,
2023 마세라티 MC20,7.0km/ℓ,가솔린,중형,쿠페,MR,33700,http://file.carisyou.com/upload/2023/07/05/FILE_202307050120455590.png,630.0
2023 토요타 하이랜더(4세대),13.8km/ℓ,가솔린/하이브리드,준대형,SUV,4WD,7470,http://file.carisyou.com/upload/2023/07/05/FILE_202307050526388340.png,188.0
2023 BMW M2(2세대),8.5km/ℓ,가솔린,준중형,쿠페,FR,8990,http://file.carisyou.com/upload/2023/07/05/FILE_202307050524409530.png,460.0
2024 BMW i4,4.1 ~ 4.6km/kwh,전기,준중형,해치백,4WD,9100,http://file.carisyou.com/upload/2023/05/11/FILE_202305110255574630.png,
2024 BMW M4(2세대),8.3km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",4WD,13640,http://file.carisyou.com/upload/2023/11/09/FILE_202311091051183060.png,510.0
2024 BMW 4시리즈(2세대),9.6 ~ 15.0km/ℓ,"가솔린,디젤",준중형,"컨버터블,쿠페,해치백외형전체>",FR,9750,http://file.carisyou.com/upload/2021/02/03/FILE_202102030125591860.png,184.0
2024 BMW X6 M(3세대),7.0km/ℓ,가솔린,중형,SUV,4WD,19420,http://file.carisyou.com/upload/2023/07/05/FILE_202307050422307370.png,625.0
2024 BMW X6(3세대),7.8 ~ 11.9km/ℓ,"가솔린,디젤",중형,SUV,4WD,12600,http://file.carisyou.com/upload/2023/07/05/FILE_202307050349434080.png,298.0
2024 BMW X7,6.9 ~ 10.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,14850,http://file.carisyou.com/upload/2024/11/18/FILE_202411180405553880.png,381.0
2024 BMW X5(4세대),7.5 ~ 11.6km/ℓ,"가솔린,가솔린/하이브리드,디젤",중형,SUV,4WD,11730,http://file.carisyou.com/upload/2023/07/05/FILE_202307050208496140.png,298.0
2023 쉐보레 타호,6.4km/ℓ,가솔린,대형,SUV,4WD,9363,http://file.carisyou.com/upload/2022/01/13/FILE_202201130204278570.png,426.0
2023 아우디 S8(4세대),7.6km/ℓ,가솔린,대형,세단,4WD,21630,http://file.carisyou.com/upload/2023/07/07/FILE_202307070952318070.png,571.0
2023 렉서스 LC,7.5 ~ 10.9km/ℓ,"가솔린,가솔린/하이브리드",중형,"컨버터블,쿠페외형전체>",FR,18170,http://file.carisyou.com/upload/2023/06/23/FILE_202306230133099050.png,477.0
2023 아우디 Q4 e-트론,4.7 ~ 4.8km/kwh,전기,준중형,SUV,2WD,7270,http://file.carisyou.com/upload/2022/09/07/FILE_202209071127449620.png,
2024 롤스로이스 스펙터,3.2km/kwh,전기,대형,쿠페,4WD,62200,http://file.carisyou.com/upload/2023/06/16/FILE_202306160253174370.png,
2024 미니 미니 컨트리맨(2세대),10.4 ~ 11.6km/ℓ,가솔린,소형,SUV,FF,6550,http://file.carisyou.com/upload/2022/06/17/FILE_202206170507390560.png,136.0
2024 미니 미니 클럽맨(2세대),9.7 ~ 11.5km/ℓ,가솔린,소형,해치백,FF,6320,http://file.carisyou.com/upload/2022/06/17/FILE_202206170512479940.png,136.0
2024 미니 미니 컨버터블(3세대),11.3 ~ 12.1km/ℓ,가솔린,소형,컨버터블,FF,5930,http://file.carisyou.com/upload/2021/07/08/FILE_202107081158450800.png,136.0
2024 미니 미니 해치(3세대),11.4 ~ 13.4km/ℓ,가솔린,소형,해치백,FF,5500,http://file.carisyou.com/upload/2022/06/17/FILE_202206170213589630.png,136.0
2024 현대 넥쏘,96.2km/kg,수소,준중형,SUV,FF,6950,http://file.carisyou.com/upload/2018/01/10/FILE_201801101202571660.png,
2023 벤츠 GLC(3세대),10.8 ~ 14.1km/ℓ,"가솔린,디젤",준중형,SUV,4WD,8710,http://file.carisyou.com/upload/2023/06/16/FILE_202306161010404980.png,197.0
2023 캐딜락 CT5-V 블랙윙,6.1km/ℓ,가솔린,중형,세단,FR,13857,http://file.carisyou.com/upload/2023/06/07/FILE_202306071036175810.png,677.0
2023 벤틀리 플라잉스퍼(3세대),7.1km/ℓ,가솔린,대형,세단,4WD,32920,http://file.carisyou.com/upload/2019/06/13/FILE_201906130957325640.png,550.0
2023 아우디 S6(8세대),11.5km/ℓ,디젤,중형,세단,4WD,11678,http://file.carisyou.com/upload/2022/05/06/FILE_202205061001190210.png,344.0
2023 렉서스 RX(5세대),10.0 ~ 14.0km/ℓ,가솔린/하이브리드,중형,SUV,4WD,1,http://file.carisyou.com/upload/2023/06/02/FILE_202306020518039390.png,187.0
2023 캐딜락 CT5,10.2km/ℓ,가솔린,중형,세단,FR,6140,http://file.carisyou.com/upload/2020/07/07/FILE_202007070212269230.png,240.0
2024 기아 모하비(HM),9.1 ~ 9.3km/ℓ,디젤,준대형,SUV,4WD,6097,http://file.carisyou.com/upload/2022/01/07/FILE_202201071242004900.png,257.0
2023 포드 머스탱(6세대),7.5 ~ 9.4km/ℓ,가솔린,중형,"컨버터블,쿠페외형전체>",FR,7335,http://file.carisyou.com/upload/2022/05/10/FILE_202205100316200880.png,291.0
2024 현대 뉴 팰리세이드,8.5 ~ 12.4km/ℓ,"가솔린,디젤",대형,SUV,FF,5413,http://file.carisyou.com/upload/2022/05/26/FILE_202205260240400980.png,295.0
2024 KGM 뉴 티볼리 에어,11.9 ~ 12.0km/ℓ,가솔린,준중형,SUV,FF,2719,http://file.carisyou.com/upload/2023/06/02/FILE_202306020335569190.png,163.0
2024 KGM 뉴 티볼리,10.8 ~ 12.0km/ℓ,가솔린,소형,SUV,FF,2770,http://file.carisyou.com/upload/2023/06/01/FILE_202306011221072920.png,126.0
2023 포드 익스페디션(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,11270,http://file.carisyou.com/upload/2022/08/24/FILE_202208240333362360.png,405.0
2023 폭스바겐 ID.4,4.9km/kwh,전기,준중형,SUV,2WD,5990,http://file.carisyou.com/upload/2022/09/15/FILE_202209150246519830.png,
2023 링컨 네비게이터(4세대),7.2km/ℓ,가솔린,대형,SUV,4WD,15040,http://file.carisyou.com/upload/2022/09/22/FILE_202209221120572550.png,446.0
2023 토요타 크라운,11.0 ~ 17.2km/ℓ,가솔린/하이브리드,준대형,세단,4WD,6570,http://file.carisyou.com/upload/2023/05/23/FILE_202305230342432280.png,186.0
2023 푸조 408,12.9km/ℓ,가솔린,준중형,해치백,FF,4690,http://file.carisyou.com/upload/2023/05/23/FILE_202305230102114180.png,131.0
2023 제네시스 뉴 G70,9.4 ~ 11.2km/ℓ,가솔린,준중형,세단,FR,4768,http://file.carisyou.com/upload/2020/09/11/FILE_202009110940186740.png,304.0
2023 제네시스 뉴 G70 슈팅 브레이크,10.9km/ℓ,가솔린,준중형,왜건,FR,4476,http://file.carisyou.com/upload/2022/06/27/FILE_202206271052427830.png,304.0
2024 미니 미니 해치 일렉트릭(3세대),4.5km/kwh,전기,소형,해치백,2WD,5210,http://file.carisyou.com/upload/2022/01/13/FILE_202201130117294260.png,
2023 포드 브롱코,8.2km/ℓ,가솔린,중형,SUV,4WD,8160,http://file.carisyou.com/upload/2023/05/10/FILE_202305100959356740.png,314.0
2024 KGM 뉴 렉스턴(Y461),10.6 ~ 11.1km/ℓ,디젤,중형,SUV,FR,5967,http://file.carisyou.com/upload/2022/03/10/FILE_202203100117042950.png,202.0
2024 KGM 뉴 렉스턴 스포츠 칸,10.2 ~ 10.5km/ℓ,디젤,대형,픽업트럭,FR,4469,http://file.carisyou.com/upload/2021/04/05/FILE_202104050121130190.png,202.0
2024 KGM 뉴 렉스턴 스포츠,10.4 ~ 10.6km/ℓ,디젤,대형,픽업트럭,FR,4063,http://file.carisyou.com/upload/2021/04/05/FILE_202104051226508780.png,202.0
2023 벤틀리 컨티넨탈(3세대),8.0km/ℓ,가솔린,대형,쿠페,4WD,32890,http://file.carisyou.com/upload/2023/05/08/FILE_202305081018402360.png,550.0
2023 아우디 RS5(2세대),8.3km/ℓ,가솔린,준중형,해치백,4WD,12808,http://file.carisyou.com/upload/2021/07/21/FILE_202107210207254260.png,450.0
2023 포드 익스플로러(6세대),8.3 ~ 10.4km/ℓ,"가솔린,가솔린/하이브리드",대형,SUV,4WD,8195,http://file.carisyou.com/upload/2022/04/13/FILE_202204130320435490.png,304.0
2023 링컨 노틸러스,8.8km/ℓ,가솔린,중형,SUV,4WD,7470,http://file.carisyou.com/upload/2021/11/01/FILE_202111011038214110.png,333.0
2024 기아 뉴 셀토스,10.8 ~ 12.9km/ℓ,가솔린,소형,SUV,FF,2903,http://file.carisyou.com/upload/2022/08/31/FILE_202208311042297900.png,149.0
2023 지프 글래디에이터,6.2km/ℓ,가솔린,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2022/04/11/FILE_202204110158513650.png,284.0
2023 현대 캐스퍼,12.3 ~ 14.3km/ℓ,가솔린,경형,SUV,FF,1960,http://file.carisyou.com/upload/2021/09/15/FILE_202109150147170690.png,76.0
2023 현대 파비스,-,디젤,준대형,트럭,FR,1,http://file.carisyou.com/upload/2021/05/20/FILE_202105201105343060.png,280.0
2023 현대 뉴 쏘나타 하이브리드(DN8),17.1 ~ 19.4km/ℓ,가솔린/하이브리드,중형,세단,FF,3921,http://file.carisyou.com/upload/2023/04/24/FILE_202304241052430090.png,152.0
2023 현대 뉴 쏘나타(DN8),9.4 ~ 13.5km/ℓ,"가솔린,엘피지",중형,세단,FF,3917,http://file.carisyou.com/upload/2023/04/24/FILE_202304241050166250.png,160.0
2023 현대 코나 일렉트릭(SX2),4.8 ~ 5.5km/kwh,전기,소형,SUV,2WD,5092,http://file.carisyou.com/upload/2023/04/13/FILE_202304130114063590.png,
2023 비야디 T4K,2.6km/kwh,전기,소형,트럭,2WD,4669,http://file.carisyou.com/upload/2023/04/10/FILE_202304100429513810.png,
2024 르노코리아 뉴 SM6,9.5 ~ 13.6km/ℓ,"가솔린,엘피지",중형,세단,FF,3639,http://file.carisyou.com/upload/2020/07/15/FILE_202007150311365900.png,140.0
2023 기아 봉고3 트럭,8.6 ~ 9.5km/ℓ,디젤,소형,트럭,FR,3935,http://file.carisyou.com/upload/2021/12/28/FILE_202112281242281790.png,133.0
2022 벤틀리 벤테이가,7.1km/ℓ,가솔린,대형,SUV,4WD,29600,http://file.carisyou.com/upload/2023/04/07/FILE_202304070315362050.png,550.0
2023 마세라티 MC20 첼로,7.1km/ℓ,가솔린,중형,컨버터블,MR,38300,http://file.carisyou.com/upload/2023/04/05/FILE_202304051044333630.png,630.0
2023 혼다 CR-V(6세대),12.1 ~ 15.1km/ℓ,"가솔린,가솔린/하이브리드",준중형,SUV,FF,5590,http://file.carisyou.com/upload/2023/08/11/FILE_202308110136437290.png,190.0
2023 푸조 2008(2세대),"4.9 ~ 17.1km/kwh,km/ℓ","디젤,전기",소형,SUV,2WD,4190,http://file.carisyou.com/upload/2019/06/19/FILE_201906190305065980.png,
2023 푸조 308(3세대),17.2km/ℓ,디젤,준중형,해치백,FF,4020,http://file.carisyou.com/upload/2022/06/20/FILE_202206201040291050.png,131.0
2023 렉서스 RZ,5.4km/kwh,전기,중형,SUV,4WD,9300,http://file.carisyou.com/upload/2023/06/21/FILE_202306210317251080.png,
2024 KGM 토레스 EVX,4.8 ~ 5.0km/kwh,전기,중형,SUV,2WD,4762,http://file.carisyou.com/upload/2023/03/31/FILE_202303310954217660.png,
2023 테슬라 모델 X,3.8 ~ 4.2km/kwh,전기,대형,SUV,4WD,12875,http://file.carisyou.com/upload/2021/07/21/FILE_202107210130125690.png,
2023 테슬라 모델 S,4.1 ~ 4.8km/kwh,전기,중형,해치백,4WD,11525,http://file.carisyou.com/upload/2021/07/21/FILE_202107210128580500.png,
2023 기아 EV9,3.8 ~ 4.2km/kwh,전기,대형,SUV,2WD,8397,http://file.carisyou.com/upload/2023/03/31/FILE_202303310904235010.png,
2023 BMW XM,10.0km/ℓ,가솔린/하이브리드,대형,SUV,4WD,22330,http://file.carisyou.com/upload/2023/03/28/FILE_202303281008288930.png,489.0
2023 벤츠 G클래스(2세대),5.6 ~ 8.2km/ℓ,"가솔린,디젤",중형,SUV,4WD,17800,https://file.carisyou.com/upload/2018/02/08/FILE_201802080440348980.png,330.0
2023 폴스타 폴스타 2,3.8 ~ 4.8km/kwh,전기,준중형,해치백,2WD,5990,http://file.carisyou.com/upload/2019/02/28/FILE_201902280312103200.png,
2023 제네시스 G90(RS4),8.2 ~ 9.3km/ℓ,가솔린,대형,"리무진,세단외형전체>",FR,1,http://file.carisyou.com/upload/2021/12/14/FILE_202112140254196890.png,380.0
2024 이네오스 그레나디어,5.5km/ℓ,"가솔린,디젤",중형,SUV,4WD,1990,http://file.carisyou.com/upload/2023/03/23/FILE_202303230457110410.png,286.0
2024 렉서스 NX(2세대),14.0 ~ 14.4km/ℓ,가솔린/하이브리드,준중형,SUV,4WD,8200,http://file.carisyou.com/upload/2023/03/23/FILE_202303230243469280.png,189.0
2023 벤츠 EQA,4.9km/kwh,전기,준중형,SUV,2WD,7450,http://file.carisyou.com/upload/2021/06/24/FILE_202106241221324420.png,
2023 벤츠 SL(7세대),6.3km/ℓ,가솔린,중형,컨버터블,4WD,23500,http://file.carisyou.com/upload/2023/03/20/FILE_202303200122191330.png,585.0
2023 기아 봉고3 EV,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,6185,http://file.carisyou.com/upload/2021/12/24/FILE_202112241114245700.png,
2023 현대 뉴 아반떼 하이브리드(CN7),18.5 ~ 21.1km/ℓ,가솔린/하이브리드,준중형,세단,FF,3153,http://file.carisyou.com/upload/2023/03/13/FILE_202303131057436250.png,105.0
2023 현대 뉴 아반떼(CN7),10.3 ~ 15.3km/ℓ,"가솔린,엘피지",준중형,세단,FF,2818,http://file.carisyou.com/upload/2023/03/13/FILE_202303130931074190.png,123.0
2023 BMW Z4(3세대),10.2 ~ 10.7km/ℓ,가솔린,소형,컨버터블,FR,9720,http://file.carisyou.com/upload/2023/03/10/FILE_202303101041326420.png,197.0
2023 테슬라 모델 Y,4.8 ~ 5.4km/kwh,전기,준중형,SUV,2WD,8534,http://file.carisyou.com/upload/2023/03/08/FILE_202303080922337520.png,
2023 아우디 S7(2세대),11.5km/ℓ,디젤,준대형,해치백,4WD,12718,http://file.carisyou.com/upload/2022/02/08/FILE_202202080352549250.png,344.0
2023 아우디 SQ5(2세대),8.6 ~ 8.9km/ℓ,가솔린,중형,SUV,4WD,9996,http://file.carisyou.com/upload/2021/07/21/FILE_202107210246134410.png,354.0
2023 아우디 S4(5세대),9.6km/ℓ,가솔린,준중형,세단,4WD,8408,http://file.carisyou.com/upload/2021/06/22/FILE_202106220423598260.png,354.0
2023 BMW X1(3세대),11.7 ~ 14.6km/ℓ,"가솔린,디젤",준중형,SUV,FF,6410,http://file.carisyou.com/upload/2023/03/06/FILE_202303060536277170.png,150.0
2024 르노코리아 뉴 QM6,8.6 ~ 12.0km/ℓ,"가솔린,엘피지",중형,SUV,FF,3793,http://file.carisyou.com/upload/2023/03/10/FILE_202303100138573040.png,140.0
2023 현대 뉴 마이티,-,디젤,준대형,트럭,FR,6769,http://file.carisyou.com/upload/2021/03/18/FILE_202103180931098530.png,170.0
2023 현대 뉴 카운티,-,디젤,준중형,버스,2WD,9139,http://file.carisyou.com/upload/2021/07/08/FILE_202107080352560620.png,170.0
2023 토요타 RAV4(5세대),15.1 ~ 16.1km/ℓ,가솔린/하이브리드,준중형,SUV,FF,5700,http://file.carisyou.com/upload/2022/04/13/FILE_202204130202152340.png,178.0
2024 기아 니로 플러스,5.3km/kwh,전기,소형,SUV,2WD,4850,http://file.carisyou.com/upload/2022/05/12/FILE_202205120134086170.png,
2023 현대 포터2,8.6 ~ 9.5km/ℓ,디젤,소형,트럭,FR,4013,http://file.carisyou.com/upload/2018/09/19/FILE_201809191103077550.png,133.0
2024 쉐보레 트랙스 크로스오버(9BQC),12.0 ~ 12.7km/ℓ,가솔린,준중형,SUV,FF,2880,http://file.carisyou.com/upload/2023/03/22/FILE_202303220224424070.png,139.0
2023 재규어 F-타입,9.8km/ℓ,가솔린,준중형,"컨버터블,쿠페외형전체>",FR,1351,http://file.carisyou.com/upload/2023/02/03/FILE_202302030133592290.png,300.0
2023 토요타 GR 수프라(5세대),10.2km/ℓ,가솔린,준중형,쿠페,FR,7980,http://file.carisyou.com/upload/2019/01/15/FILE_201901151111513480.png,387.0
2024 기아 니로 EV(SG2),5.3km/kwh,전기,소형,SUV,2WD,5120,http://file.carisyou.com/upload/2021/11/26/FILE_202111260158469710.png,
2024 기아 니로(SG2),19.1 ~ 20.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3376,http://file.carisyou.com/upload/2023/09/22/FILE_202309220944129270.png,105.0
2023 현대 포터2 일렉트릭,2.7 ~ 3.1km/kwh,전기,소형,트럭,2WD,4986,http://file.carisyou.com/upload/2019/12/11/FILE_201912111011447610.png,
2023 BMW iX1,4.2km/kwh,전기,준중형,SUV,4WD,6930,http://file.carisyou.com/upload/2023/01/26/FILE_202301261100344100.png,
2023 현대 코나 하이브리드(SX2),18.1 ~ 19.8km/ℓ,가솔린/하이브리드,소형,SUV,FF,3495,http://file.carisyou.com/upload/2023/01/18/FILE_202301181038184400.png,105.0
2023 현대 코나(SX2),11.2 ~ 13.6km/ℓ,가솔린,소형,SUV,FF,3323,http://file.carisyou.com/upload/2023/01/19/FILE_202301190921384420.png,149.0
2023 대창모터스 다니고 EV,3.1 ~ 3.4km/kwh,전기,소형,트럭,2WD,5780,http://file.carisyou.com/upload/2022/08/18/FILE_202208180430270230.png,
2023 포드 레인저(2세대),9.0 ~ 10.1km/ℓ,디젤,대형,픽업트럭,4WD,7990,http://file.carisyou.com/upload/2023/01/16/FILE_202301160202008150.png,205.0
2023 아우디 Q2,16.7km/ℓ,디젤,소형,SUV,FF,4440,http://file.carisyou.com/upload/2023/01/20/FILE_202301200233517170.png,150.0
2023 현대 쏠라티,-,디젤,준중형,버스,FR,7144,http://file.carisyou.com/upload/2019/04/24/FILE_201904240343208140.png,170.0
2023 신위안 이티밴,4.4km/kwh,전기,소형,버스,2WD,3990,http://file.carisyou.com/upload/2023/02/21/FILE_202302210141074630.png,
2023 토요타 시에나(4세대),13.7 ~ 14.5km/ℓ,가솔린/하이브리드,대형,RV,4WD,7060,http://file.carisyou.com/upload/2022/02/08/FILE_202202080453115700.png,189.0
2023 동풍소콘 마사다 트럭,3.5km/kwh,전기,소형,트럭,2WD,3699,http://file.carisyou.com/upload/2023/01/04/FILE_202301040444273980.png,
2023 동풍소콘 마사다 밴,3.8km/kwh,전기,소형,버스,2WD,3980,http://file.carisyou.com/upload/2023/01/04/FILE_202301040446228760.png,
2023 포르쉐 타이칸,2.8 ~ 3.2km/kwh,전기,준대형,"세단,왜건외형전체>",2WD,12990,http://file.carisyou.com/upload/2021/11/18/FILE_202111180506182220.png,
2023 아우디 Q7(2세대),8.1 ~ 11.0km/ℓ,"가솔린,디젤",대형,SUV,4WD,1240,http://file.carisyou.com/upload/2019/09/30/FILE_201909301232489000.png,231.0
2023 GMC 시에라(5세대),6.9km/ℓ,가솔린,대형,픽업트럭,4WD,9500,http://file.carisyou.com/upload/2023/02/08/FILE_202302081033469850.png,426.0
2023 아우디 RS7(2세대),7.4km/ℓ,가솔린,준대형,해치백,4WD,17558,http://file.carisyou.com/upload/2021/07/28/FILE_202107280441377880.png,600.0
2023 아우디 A7(2세대),9.5 ~ 15.7km/ℓ,"가솔린,가솔린/하이브리드,디젤",준대형,해치백,4WD,1,http://file.carisyou.com/upload/2017/12/27/FILE_201712270421049650.png,245.0
2023 아우디 RS6(8세대),7.0km/ℓ,가솔린,중형,왜건,4WD,16958,http://file.carisyou.com/upload/2021/07/28/FILE_202107280430372490.png,600.0
2023 아우디 RSQ8,6.6km/ℓ,가솔린,대형,SUV,4WD,18450,http://file.carisyou.com/upload/2023/01/06/FILE_202301060247092550.png,600.0
2023 캐딜락 XT5,8.0km/ℓ,가솔린,중형,SUV,4WD,7710,http://file.carisyou.com/upload/2021/10/05/FILE_202110050526294330.png,314.0
2023 BMW X3 M,7.7km/ℓ,가솔린,준중형,SUV,4WD,12490,http://file.carisyou.com/upload/2021/11/18/FILE_202111181128120390.png,510.0
2023 BMW X4 M,7.8km/ℓ,가솔린,준중형,SUV,4WD,12920,http://file.carisyou.com/upload/2021/11/18/FILE_202111180308063450.png,510.0
2023 BMW X5 M(3세대),6.7km/ℓ,가솔린,중형,SUV,4WD,18360,http://file.carisyou.com/upload/2020/06/25/FILE_202006251014072310.png,625.0
2023 BMW X6 M(3세대),6.8km/ℓ,가솔린,중형,SUV,4WD,18670,http://file.carisyou.com/upload/2020/06/25/FILE_202006251015077170.png,625.0
2023 제네시스 일렉트리파이드 G80(RG3),4.3km/kwh,전기,준대형,세단,4WD,8392,http://file.carisyou.com/upload/2022/07/06/FILE_202207060220343320.png,
